# y_plus, uu_plus, vv_plus, minus_uv_plus
3.72400365e+02, 1.38370193e+00, 1.38370193e+00, 6.48195265e-01
3.73936036e+02, 1.38026723e+00, 1.38026723e+00, 6.45632494e-01
3.75471708e+02, 1.37681840e+00, 1.37681840e+00, 6.44466266e-01
3.77007379e+02, 1.37336957e+00, 1.37336957e+00, 6.43284487e-01
3.78543051e+02, 1.36991368e+00, 1.36991368e+00, 6.41384915e-01
3.80078723e+02, 1.36645071e+00, 1.36645071e+00, 6.39464713e-01
3.81614394e+02, 1.36297361e+00, 1.36297361e+00, 6.38236427e-01
3.83150066e+02, 1.35949651e+00, 1.35949651e+00, 6.36993004e-01
3.84685737e+02, 1.35601234e+00, 1.35601234e+00, 6.35026593e-01
3.86221409e+02, 1.35252111e+00, 1.35252111e+00, 6.33049655e-01
3.87757081e+02, 1.34902281e+00, 1.34902281e+00, 6.31761092e-01
3.89292752e+02, 1.34551744e+00, 1.34551744e+00, 6.30457806e-01
3.90828424e+02, 1.34200500e+00, 1.34200500e+00, 6.27727604e-01
3.92364095e+02, 1.33848550e+00, 1.33848550e+00, 6.26394952e-01
3.93899767e+02, 1.33495893e+00, 1.33495893e+00, 6.25052569e-01
3.95435439e+02, 1.33142529e+00, 1.33142529e+00, 6.23695854e-01
3.96971110e+02, 1.32788459e+00, 1.32788459e+00, 6.21616103e-01
3.98506782e+02, 1.32433681e+00, 1.32433681e+00, 6.19522136e-01
4.00042453e+02, 1.32078904e+00, 1.32078904e+00, 6.18836437e-01
4.01578125e+02, 1.31722713e+00, 1.31722713e+00, 6.16714463e-01
4.03113797e+02, 1.31365816e+00, 1.31365816e+00, 6.14583266e-01
4.04649468e+02, 1.31008919e+00, 1.31008919e+00, 6.13147203e-01
4.06185140e+02, 1.30650608e+00, 1.30650608e+00, 6.10988697e-01
4.07720811e+02, 1.30292297e+00, 1.30292297e+00, 6.09530065e-01
4.09256483e+02, 1.29932573e+00, 1.29932573e+00, 6.08057979e-01
4.10792155e+02, 1.29572848e+00, 1.29572848e+00, 6.05863924e-01
4.12327826e+02, 1.29212417e+00, 1.29212417e+00, 6.04365315e-01
4.13863498e+02, 1.28851279e+00, 1.28851279e+00, 6.02858067e-01
4.15399170e+02, 1.28489435e+00, 1.28489435e+00, 6.00629453e-01
4.16934841e+02, 1.28126884e+00, 1.28126884e+00, 5.99096285e-01
4.18470513e+02, 1.27763626e+00, 1.27763626e+00, 5.97554721e-01
4.20006184e+02, 1.27399661e+00, 1.27399661e+00, 5.95292523e-01
4.21541856e+02, 1.27034989e+00, 1.27034989e+00, 5.93017986e-01
4.23077528e+02, 1.26670318e+00, 1.26670318e+00, 5.91443146e-01
4.24613199e+02, 1.26304233e+00, 1.26304233e+00, 5.89860228e-01
4.26148871e+02, 1.25938148e+00, 1.25938148e+00, 5.88260476e-01
4.27684542e+02, 1.25571357e+00, 1.25571357e+00, 5.86652816e-01
4.29220214e+02, 1.25203858e+00, 1.25203858e+00, 5.84330744e-01
4.30755886e+02, 1.24835653e+00, 1.24835653e+00, 5.81997032e-01
4.32291557e+02, 1.24466741e+00, 1.24466741e+00, 5.80362213e-01
4.33827229e+02, 1.24097123e+00, 1.24097123e+00, 5.78715435e-01
4.35362900e+02, 1.23727504e+00, 1.23727504e+00, 5.76351346e-01
4.36898572e+02, 1.23357179e+00, 1.23357179e+00, 5.74685577e-01
4.38434244e+02, 1.22986147e+00, 1.22986147e+00, 5.73012440e-01
4.39969915e+02, 1.22614408e+00, 1.22614408e+00, 5.71327700e-01
4.41505587e+02, 1.22241963e+00, 1.22241963e+00, 5.68931618e-01
4.43041258e+02, 1.21869518e+00, 1.21869518e+00, 5.67228592e-01
4.44576930e+02, 1.21495659e+00, 1.21495659e+00, 5.65518506e-01
4.46112602e+02, 1.21121800e+00, 1.21121800e+00, 5.63098428e-01
4.47648273e+02, 1.20747941e+00, 1.20747941e+00, 5.61370575e-01
4.49183945e+02, 1.20372669e+00, 1.20372669e+00, 5.58933706e-01
4.50719616e+02, 1.19997396e+00, 1.19997396e+00, 5.57188456e-01
4.52255288e+02, 1.19621417e+00, 1.19621417e+00, 5.55436528e-01
