# y_plus, uu_plus, vv_plus, minus_uv_plus
3.51772217e+02, 1.37343347e+00, 1.37343347e+00, 6.56002163e-01
3.53304993e+02, 1.37002835e+00, 1.37002835e+00, 6.54198403e-01
3.54837770e+02, 1.36660905e+00, 1.36660905e+00, 6.52373083e-01
3.56370546e+02, 1.36318974e+00, 1.36318974e+00, 6.51282195e-01
3.57903323e+02, 1.35976334e+00, 1.35976334e+00, 6.50171004e-01
3.59436099e+02, 1.35632984e+00, 1.35632984e+00, 6.48292149e-01
3.60968876e+02, 1.35288925e+00, 1.35288925e+00, 6.46392396e-01
3.62501653e+02, 1.34944157e+00, 1.34944157e+00, 6.45229383e-01
3.64034429e+02, 1.34598679e+00, 1.34598679e+00, 6.43293307e-01
3.65567206e+02, 1.34253202e+00, 1.34253202e+00, 6.41341381e-01
3.67099982e+02, 1.33906305e+00, 1.33906305e+00, 6.40127727e-01
3.68632759e+02, 1.33558699e+00, 1.33558699e+00, 6.38894665e-01
3.70165535e+02, 1.33211093e+00, 1.33211093e+00, 6.36892205e-01
3.71698312e+02, 1.32862069e+00, 1.32862069e+00, 6.35624894e-01
3.73231088e+02, 1.32513044e+00, 1.32513044e+00, 6.34343026e-01
3.74763865e+02, 1.32162600e+00, 1.32162600e+00, 6.31531398e-01
3.76296641e+02, 1.31812157e+00, 1.31812157e+00, 6.30220236e-01
3.77829418e+02, 1.31461004e+00, 1.31461004e+00, 6.29646287e-01
3.79362195e+02, 1.31109142e+00, 1.31109142e+00, 6.27542046e-01
3.80894971e+02, 1.30756570e+00, 1.30756570e+00, 6.25423423e-01
3.82427748e+02, 1.30403289e+00, 1.30403289e+00, 6.24046984e-01
3.83960524e+02, 1.30049299e+00, 1.30049299e+00, 6.21900179e-01
3.85493301e+02, 1.29694599e+00, 1.29694599e+00, 6.20496110e-01
3.87026077e+02, 1.29339189e+00, 1.29339189e+00, 6.19074100e-01
3.88558854e+02, 1.28983071e+00, 1.28983071e+00, 6.16881709e-01
3.90091630e+02, 1.28626952e+00, 1.28626952e+00, 6.15432772e-01
3.91624407e+02, 1.28269414e+00, 1.28269414e+00, 6.13970571e-01
3.93157183e+02, 1.27911877e+00, 1.27911877e+00, 6.12490898e-01
3.94689960e+02, 1.27552921e+00, 1.27552921e+00, 6.11002468e-01
3.96222737e+02, 1.27193964e+00, 1.27193964e+00, 6.08739638e-01
3.97755513e+02, 1.26833589e+00, 1.26833589e+00, 6.06463960e-01
3.99288290e+02, 1.26473214e+00, 1.26473214e+00, 6.05689801e-01
4.00821066e+02, 1.26112130e+00, 1.26112130e+00, 6.04150102e-01
4.02353843e+02, 1.25750336e+00, 1.25750336e+00, 6.01832333e-01
4.03886619e+02, 1.25387832e+00, 1.25387832e+00, 6.00263440e-01
4.05419396e+02, 1.25024620e+00, 1.25024620e+00, 5.97925331e-01
4.06952172e+02, 1.24661407e+00, 1.24661407e+00, 5.96331938e-01
4.08484949e+02, 1.24296776e+00, 1.24296776e+00, 5.94726403e-01
4.10017725e+02, 1.23932144e+00, 1.23932144e+00, 5.93108823e-01
4.11550502e+02, 1.23566094e+00, 1.23566094e+00, 5.91479292e-01
4.13083278e+02, 1.23200043e+00, 1.23200043e+00, 5.89081705e-01
4.14616055e+02, 1.22833284e+00, 1.22833284e+00, 5.87428743e-01
4.16148832e+02, 1.22465815e+00, 1.22465815e+00, 5.85764135e-01
4.17681608e+02, 1.22097636e+00, 1.22097636e+00, 5.84087976e-01
4.19214385e+02, 1.21728748e+00, 1.21728748e+00, 5.82404464e-01
4.20747161e+02, 1.21359151e+00, 1.21359151e+00, 5.80705480e-01
4.22279938e+02, 1.20989554e+00, 1.20989554e+00, 5.78999313e-01
4.23812714e+02, 1.20618538e+00, 1.20618538e+00, 5.76527340e-01
4.25345491e+02, 1.20247522e+00, 1.20247522e+00, 5.74799178e-01
4.26878267e+02, 1.19875796e+00, 1.19875796e+00, 5.73060035e-01
4.28411044e+02, 1.19503361e+00, 1.19503361e+00, 5.71310006e-01
4.29943820e+02, 1.19130217e+00, 1.19130217e+00, 5.69553209e-01
4.31476597e+02, 1.18757073e+00, 1.18757073e+00, 5.67032666e-01
4.33009374e+02, 1.18382509e+00, 1.18382509e+00, 5.65258891e-01
4.34542150e+02, 1.18007946e+00, 1.18007946e+00, 5.63470603e-01
4.36074927e+02, 1.17632674e+00, 1.17632674e+00, 5.61675876e-01
4.37607703e+02, 1.17256692e+00, 1.17256692e+00, 5.59874776e-01
4.39140480e+02, 1.16880710e+00, 1.16880710e+00, 5.58059459e-01
4.40673256e+02, 1.16503309e+00, 1.16503309e+00, 5.56237938e-01
4.42206033e+02, 1.16125909e+00, 1.16125909e+00, 5.54410278e-01
4.43738809e+02, 1.15747799e+00, 1.15747799e+00, 5.51822861e-01
4.45271586e+02, 1.15368979e+00, 1.15368979e+00, 5.49975776e-01
4.46804362e+02, 1.14990160e+00, 1.14990160e+00, 5.48122795e-01
4.48337139e+02, 1.14609921e+00, 1.14609921e+00, 5.46260099e-01
4.49869916e+02, 1.14229683e+00, 1.14229683e+00, 5.44391657e-01
4.51402692e+02, 1.13849445e+00, 1.13849445e+00, 5.42513670e-01
4.52935469e+02, 1.13467788e+00, 1.13467788e+00, 5.40630086e-01
4.54468245e+02, 1.13086131e+00, 1.13086131e+00, 5.37990954e-01
4.56001022e+02, 1.12703764e+00, 1.12703764e+00, 5.36093111e-01
4.57533798e+02, 1.12320688e+00, 1.12320688e+00, 5.34189894e-01
4.59066575e+02, 1.11937612e+00, 1.11937612e+00, 5.32277563e-01
4.60599351e+02, 1.11553827e+00, 1.11553827e+00, 5.30360008e-01
4.62132128e+02, 1.11170042e+00, 1.11170042e+00, 5.28437291e-01
4.63664904e+02, 1.10784838e+00, 1.10784838e+00, 5.26505706e-01
4.65197681e+02, 1.10399634e+00, 1.10399634e+00, 5.24569108e-01
4.66730458e+02, 1.10014430e+00, 1.10014430e+00, 5.21886247e-01
4.68263234e+02, 1.09628516e+00, 1.09628516e+00, 5.19936741e-01
4.69796011e+02, 1.09241893e+00, 1.09241893e+00, 5.17986172e-01
4.71328787e+02, 1.08854561e+00, 1.08854561e+00, 5.16027143e-01
4.72861564e+02, 1.08467229e+00, 1.08467229e+00, 5.14059751e-01
4.74394340e+02, 1.08079896e+00, 1.08079896e+00, 5.11353591e-01
4.75927117e+02, 1.07691855e+00, 1.07691855e+00, 5.10118666e-01
4.77459893e+02, 1.07303104e+00, 1.07303104e+00, 5.08137717e-01
4.78992670e+02, 1.06914352e+00, 1.06914352e+00, 5.05420352e-01
4.80525446e+02, 1.06524892e+00, 1.06524892e+00, 5.03431443e-01
4.82058223e+02, 1.06135431e+00, 1.06135431e+00, 5.00707747e-01
4.83590999e+02, 1.05745262e+00, 1.05745262e+00, 4.98711177e-01
4.85123776e+02, 1.05355092e+00, 1.05355092e+00, 4.97443110e-01
4.86656553e+02, 1.04964212e+00, 1.04964212e+00, 4.94709375e-01
4.88189329e+02, 1.04573333e+00, 1.04573333e+00, 4.92700663e-01
4.89722106e+02, 1.04182454e+00, 1.04182454e+00, 4.90691611e-01
4.91254882e+02, 1.03790865e+00, 1.03790865e+00, 4.87945755e-01
4.92787659e+02, 1.03398567e+00, 1.03398567e+00, 4.86658396e-01
4.94320435e+02, 1.03006978e+00, 1.03006978e+00, 4.84637926e-01
4.95853212e+02, 1.02614680e+00, 1.02614680e+00, 4.81160119e-01
4.97385988e+02, 1.02221673e+00, 1.02221673e+00, 4.79137595e-01
4.98918765e+02, 1.01829375e+00, 1.01829375e+00, 4.77833105e-01
5.00451541e+02, 1.01435658e+00, 1.01435658e+00, 4.75078459e-01
5.01984318e+02, 1.01042650e+00, 1.01042650e+00, 4.73045475e-01
5.03517095e+02, 1.00648933e+00, 1.00648933e+00, 4.71012598e-01
5.05049871e+02, 1.00255926e+00, 1.00255926e+00, 4.68254899e-01
5.06582648e+02, 9.98614997e-01, 9.98614997e-01, 4.66216365e-01
5.08115424e+02, 9.94677828e-01, 9.94677828e-01, 4.64178083e-01
5.09648201e+02, 9.90740659e-01, 9.90740659e-01, 4.62136660e-01
5.11180977e+02, 9.86796396e-01, 9.86796396e-01, 4.59377796e-01
5.12713754e+02, 9.82852133e-01, 9.82852133e-01, 4.57334629e-01
5.14246530e+02, 9.78907870e-01, 9.78907870e-01, 4.55288503e-01
5.15779307e+02, 9.74963607e-01, 9.74963607e-01, 4.52527963e-01
5.17312083e+02, 9.71019345e-01, 9.71019345e-01, 4.50483801e-01
5.18844860e+02, 9.67067988e-01, 9.67067988e-01, 4.47727245e-01
5.20377637e+02, 9.63123725e-01, 9.63123725e-01, 4.45681864e-01
5.21910413e+02, 9.59179462e-01, 9.59179462e-01, 4.43633802e-01
5.23443190e+02, 9.55235199e-01, 9.55235199e-01, 4.40879790e-01
5.24975966e+02, 9.51283842e-01, 9.51283842e-01, 4.38834144e-01
5.26508743e+02, 9.47339579e-01, 9.47339579e-01, 4.36789258e-01
5.28041519e+02, 9.43395317e-01, 9.43395317e-01, 4.34038262e-01
5.29574296e+02, 9.39451054e-01, 9.39451054e-01, 4.31286894e-01
5.31107072e+02, 9.35506791e-01, 9.35506791e-01, 4.29246557e-01
5.32639849e+02, 9.31562528e-01, 9.31562528e-01, 4.27203890e-01
5.34172625e+02, 9.27625359e-01, 9.27625359e-01, 4.25162176e-01
5.35705402e+02, 9.23681096e-01, 9.23681096e-01, 4.22422954e-01
5.37238179e+02, 9.19743927e-01, 9.19743927e-01, 4.19683648e-01
5.38770955e+02, 9.15813853e-01, 9.15813853e-01, 4.17647099e-01
5.40303732e+02, 9.11876684e-01, 9.11876684e-01, 4.14916295e-01
5.41836508e+02, 9.07946609e-01, 9.07946609e-01, 4.12185586e-01
