# y_plus_values_1, u_plus_values_1
224.250217, 19.180153
224.894118, 19.188320
225.538020, 19.196440
226.180850, 19.204514
226.824751, 19.212588
227.467581, 19.220615
228.111483, 19.228642
228.755384, 19.236669
229.398215, 19.244649
230.042116, 19.252629
230.684946, 19.260563
231.328848, 19.268450
231.972749, 19.276384
232.615579, 19.284224
233.259481, 19.292064
233.902311, 19.299905
234.546212, 19.307698
235.190114, 19.315492
235.832944, 19.323239
236.476846, 19.330986
237.119676, 19.338733
237.763577, 19.346433
238.407479, 19.354087
239.050309, 19.361740
239.694210, 19.369394
240.337040, 19.377001
240.980942, 19.384608
241.624843, 19.392168
242.267674, 19.399682
242.911575, 19.407242
243.554405, 19.414756
244.198307, 19.422223
244.842208, 19.429737
245.485038, 19.437157
246.128940, 19.444624
246.771770, 19.451998
247.415671, 19.459371
248.059573, 19.466745
248.702403, 19.474119
249.346305, 19.481446
249.989135, 19.488772
250.633036, 19.496053
251.276938, 19.503333
251.919768, 19.510613
252.563669, 19.517847
253.206500, 19.525034
253.850401, 19.532221
254.494303, 19.539455
255.137133, 19.546595
255.781034, 19.553735
256.423864, 19.560829
257.067766, 19.567922
257.711667, 19.575016
258.354497, 19.582110
258.998399, 19.589157
259.641229, 19.596157
260.285131, 19.603204
260.929032, 19.610204
261.571862, 19.617158
262.215764, 19.624112
262.858594, 19.631065
263.502495, 19.637972
264.146397, 19.644832
264.789227, 19.651739
265.433128, 19.658600
266.075959, 19.665460
266.719860, 19.672274
267.363762, 19.679087
268.006592, 19.685901
268.650493, 19.692668
269.293323, 19.699435
269.937225, 19.706155
270.581126, 19.712922
271.223956, 19.719642
271.867858, 19.726316
272.510688, 19.732989
273.154590, 19.739663
273.798491, 19.746290
274.441321, 19.752917
275.085223, 19.759497
275.728053, 19.766077
276.371954, 19.772658
277.015856, 19.779238
277.658686, 19.785772
278.302587, 19.792305
278.945418, 19.798839
279.589319, 19.805279
280.233221, 19.811766
280.876051, 19.818206
281.519952, 19.824647
282.162782, 19.831134
282.806684, 19.837527
283.450585, 19.843921
284.093415, 19.850268
284.737317, 19.856615
285.380147, 19.863008
286.024049, 19.869308
286.667950, 19.875609
287.310780, 19.881909
287.954682, 19.888163
288.597512, 19.894463
289.241413, 19.900716
289.885315, 19.906970
290.528145, 19.913130
291.172047, 19.919337
291.814877, 19.925544
292.458778, 19.931704
293.102680, 19.937865
293.745510, 19.943978
294.389411, 19.950092
295.032241, 19.956205
295.676143, 19.962272
296.320044, 19.968386
296.962875, 19.974453
297.606776, 19.980520
298.249606, 19.986540
298.893508, 19.992560
299.537409, 19.998534
300.180239, 20.004508
300.824141, 20.010481
301.466971, 20.016455
302.110872, 20.022382
302.754774, 20.028262
303.397604, 20.034189
304.041506, 20.040116
304.684336, 20.045996
305.328237, 20.051829
305.972139, 20.057710
306.614969, 20.063543
307.258870, 20.069330
307.901700, 20.075164
308.545602, 20.080951
309.189503, 20.086691
309.832334, 20.092478
310.476235, 20.098218
311.119065, 20.103958
311.762967, 20.109652
312.406868, 20.115392
313.049698, 20.121086
313.693600, 20.126733
314.336430, 20.132380
314.980331, 20.138026
315.624233, 20.143673
316.267063, 20.149274
316.910965, 20.154874
317.553795, 20.160427
318.197696, 20.166028
318.841598, 20.171581
319.484428, 20.177135
320.128329, 20.182642
320.771159, 20.188149
321.415061, 20.193655
322.058962, 20.199162
322.701793, 20.204623
323.345694, 20.210083
323.988524, 20.215543
324.632426, 20.220957
325.276327, 20.226370
325.919157, 20.231784
326.563059, 20.237151
327.205889, 20.242518
327.849791, 20.247884
328.493692, 20.253205
329.136522, 20.258525
329.780424, 20.263845
330.423254, 20.269165
331.067155, 20.274439
331.711057, 20.279712
332.353887, 20.284986
332.997788, 20.290213
333.640619, 20.295440
334.284520, 20.300667
334.928422, 20.305894
335.571252, 20.311074
336.215153, 20.316254
336.857983, 20.321434
337.501885, 20.326568
338.145786, 20.331701
338.788616, 20.336835
339.432518, 20.341922
340.075348, 20.347009
340.719250, 20.352095
341.363151, 20.357136
342.005981, 20.362223
342.649883, 20.367263
343.292713, 20.372303
343.936614, 20.377297
344.580516, 20.382337
345.223346, 20.387284
345.867247, 20.392230
346.510078, 20.397177
347.153979, 20.402124
347.797881, 20.407071
348.440711, 20.412018
349.084612, 20.416918
349.727442, 20.421772
350.371344, 20.426672
351.015245, 20.431525
351.658075, 20.436379
352.301977, 20.441233
352.944807, 20.446039
353.588709, 20.450846
354.232610, 20.455606
354.875440, 20.460413
355.519342, 20.465174
356.162172, 20.469934
356.806073, 20.474647
357.449975, 20.479361
358.092805, 20.484074
358.736706, 20.488788
359.379537, 20.493501
360.023438, 20.498168
360.667340, 20.502835
361.310170, 20.507455
361.954071, 20.512122
362.596901, 20.516742
363.240803, 20.521316
363.884704, 20.525936
364.527534, 20.530510
365.171436, 20.535036
365.814266, 20.539610
366.458168, 20.544137
367.102069, 20.548664
367.744899, 20.553191
368.388801, 20.557671
369.031631, 20.562151
369.675532, 20.566631
370.319434, 20.571065
370.962264, 20.575498
371.606166, 20.579932
372.248996, 20.584365
372.892897, 20.588752
373.536799, 20.593139
374.179629, 20.597526
374.823530, 20.601866
375.466360, 20.606206
376.110262, 20.610546
376.754163, 20.614886
377.396994, 20.619180
378.040895, 20.623474
378.683725, 20.627767
379.327627, 20.632014
379.971528, 20.636261
380.614358, 20.640508
381.258260, 20.644708
381.901090, 20.648908
382.544991, 20.653155
383.188893, 20.657308
383.831723, 20.661508
384.475625, 20.665662
385.118455, 20.669815
385.762356, 20.673922
386.406258, 20.678029
387.049088, 20.682136
387.692989, 20.686243
388.335819, 20.690350
388.979721, 20.694363
389.623622, 20.698423
390.266453, 20.702437
390.910354, 20.706450
