# y_plus, uu_plus, vv_plus, minus_uv_plus
2.47356864e+02, 1.68499696e+00, 1.68499696e+00, 7.79476825e-01
2.48898028e+02, 1.68285677e+00, 1.68285677e+00, 7.78893792e-01
2.50439192e+02, 1.68070958e+00, 1.68070958e+00, 7.78244475e-01
2.51980357e+02, 1.67856238e+00, 1.67856238e+00, 7.76871341e-01
2.53521521e+02, 1.67640816e+00, 1.67640816e+00, 7.76113127e-01
2.55062685e+02, 1.67426096e+00, 1.67426096e+00, 7.75976969e-01
2.56603849e+02, 1.67209973e+00, 1.67209973e+00, 7.74432954e-01
2.58145014e+02, 1.66994551e+00, 1.66994551e+00, 7.73505843e-01
2.59686178e+02, 1.66778428e+00, 1.66778428e+00, 7.73208556e-01
2.61227342e+02, 1.66562305e+00, 1.66562305e+00, 7.72181111e-01
2.62768506e+02, 1.66345480e+00, 1.66345480e+00, 7.71097091e-01
2.64309671e+02, 1.66128655e+00, 1.66128655e+00, 7.69962865e-01
2.65850835e+02, 1.65911128e+00, 1.65911128e+00, 7.69468314e-01
2.67391999e+02, 1.65693601e+00, 1.65693601e+00, 7.68231006e-01
2.68933163e+02, 1.65476074e+00, 1.65476074e+00, 7.66944703e-01
2.70474328e+02, 1.65257846e+00, 1.65257846e+00, 7.66994746e-01
2.72015492e+02, 1.65039618e+00, 1.65039618e+00, 7.66306979e-01
2.73556656e+02, 1.64820687e+00, 1.64820687e+00, 7.64176847e-01
2.75097820e+02, 1.64601757e+00, 1.64601757e+00, 7.63391851e-01
2.76638985e+02, 1.64382126e+00, 1.64382126e+00, 7.63266350e-01
2.78180149e+02, 1.64162494e+00, 1.64162494e+00, 7.62391114e-01
2.79721313e+02, 1.63942160e+00, 1.63942160e+00, 7.61478870e-01
2.81262478e+02, 1.63721827e+00, 1.63721827e+00, 7.60512915e-01
2.82803642e+02, 1.63500792e+00, 1.63500792e+00, 7.59510583e-01
2.84344806e+02, 1.63279756e+00, 1.63279756e+00, 7.58460908e-01
2.85885970e+02, 1.63058019e+00, 1.63058019e+00, 7.57369858e-01
2.87427135e+02, 1.62836283e+00, 1.62836283e+00, 7.56232179e-01
2.88968299e+02, 1.62613142e+00, 1.62613142e+00, 7.55775720e-01
2.90509463e+02, 1.62390704e+00, 1.62390704e+00, 7.55054987e-01
2.92050627e+02, 1.62166862e+00, 1.62166862e+00, 7.53857135e-01
2.93591792e+02, 1.61942318e+00, 1.61942318e+00, 7.53326650e-01
2.95132956e+02, 1.61716371e+00, 1.61716371e+00, 7.52348569e-01
2.96674120e+02, 1.61489020e+00, 1.61489020e+00, 7.51166031e-01
2.98215284e+02, 1.61260266e+00, 1.61260266e+00, 7.49933760e-01
2.99756449e+02, 1.61030109e+00, 1.61030109e+00, 7.48756747e-01
3.01297613e+02, 1.60798549e+00, 1.60798549e+00, 7.47706830e-01
3.02838777e+02, 1.60564883e+00, 1.60564883e+00, 7.46105909e-01
3.04379941e+02, 1.60329112e+00, 1.60329112e+00, 7.45388229e-01
3.05921106e+02, 1.60092639e+00, 1.60092639e+00, 7.44847208e-01
3.07462270e+02, 1.59854062e+00, 1.59854062e+00, 7.43041393e-01
3.09003434e+02, 1.59613379e+00, 1.59613379e+00, 7.42094999e-01
3.10544598e+02, 1.59371293e+00, 1.59371293e+00, 7.41281047e-01
3.12085763e+02, 1.59127803e+00, 1.59127803e+00, 7.39862328e-01
3.13626927e+02, 1.58882910e+00, 1.58882910e+00, 7.38542221e-01
3.15168091e+02, 1.58635912e+00, 1.58635912e+00, 7.38002437e-01
3.16709256e+02, 1.58387511e+00, 1.58387511e+00, 7.36818099e-01
3.18250420e+02, 1.58137706e+00, 1.58137706e+00, 7.34966361e-01
3.19791584e+02, 1.57885796e+00, 1.57885796e+00, 7.33856012e-01
3.21332748e+02, 1.57632482e+00, 1.57632482e+00, 7.33482331e-01
3.22873913e+02, 1.57377766e+00, 1.57377766e+00, 7.32413194e-01
3.24415077e+02, 1.57121645e+00, 1.57121645e+00, 7.29930642e-01
3.25956241e+02, 1.56863420e+00, 1.56863420e+00, 7.28868842e-01
3.27497405e+02, 1.56603792e+00, 1.56603792e+00, 7.28517769e-01
