# y_plus_values_1, u_plus_values_1
495.383897, 265.532962
496.025597, 265.578854
496.666229, 265.623810
497.307929, 265.668297
497.948561, 265.711848
498.590261, 265.754462
499.231961, 265.796608
499.872594, 265.837817
500.514294, 265.878090
501.154926, 265.917894
501.796626, 265.956294
502.438326, 265.994693
503.078959, 266.032156
503.720659, 266.068683
504.361291, 266.104741
505.002991, 266.139394
505.644691, 266.174047
506.285323, 266.207296
506.927023, 266.240076
507.567656, 266.272388
508.209356, 266.303295
508.851056, 266.333733
509.491688, 266.363236
510.133388, 266.392269
510.774021, 266.420367
511.415721, 266.447527
512.057421, 266.474220
512.698053, 266.499975
513.339753, 266.524795
513.980385, 266.549614
514.622085, 266.573028
515.263786, 266.595506
515.904418, 266.617516
516.546118, 266.638588
517.186750, 266.659193
517.828450, 266.678393
518.470150, 266.697593
519.110783, 266.715388
519.752483, 266.732714
520.393115, 266.749573
521.034815, 266.765026
521.676515, 266.780480
522.317147, 266.794528
522.958848, 266.808109
523.599480, 266.820752
524.241180, 266.832459
524.882880, 266.843698
525.523512, 266.854469
526.165212, 266.863835
526.805845, 266.873200
527.447545, 266.880693
528.089245, 266.888186
528.729877, 266.894742
529.371577, 266.900361
530.012209, 266.905512
530.653910, 266.909727
531.295610, 266.913473
531.936242, 266.915815
532.577942, 266.917688
533.218574, 266.919093
533.860274, 266.919093
